contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,spot,dividendYield
SPY250411C00569000,2025-04-04 20:13:08+00:00,569.0,0.13,0.12,0.16,-0.34,-72.34043,563.0,2660,0.428716650390625,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00570000,2025-04-04 20:12:51+00:00,570.0,0.12,0.11,0.15,-0.28,-70.0,11035.0,10954,0.42969320312500003,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00571000,2025-04-04 20:13:51+00:00,571.0,0.11,0.09,0.13,-0.23,-67.64706,276.0,1914,0.42676354492187507,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00572000,2025-04-04 20:13:51+00:00,572.0,0.1,0.08,0.12,-0.19,-65.51724,299.0,2129,0.42774009765625004,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00573000,2025-04-04 20:04:00+00:00,573.0,0.06,0.07,0.11,-0.19,-76.0,217.0,1231,0.42774009765625004,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00574000,2025-04-04 20:07:01+00:00,574.0,0.1,0.07,0.1,-0.10999999,-52.38095,438.0,2632,0.42774009765625004,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00575000,2025-04-04 20:11:43+00:00,575.0,0.08,0.06,0.1,-0.11,-57.894737,1708.0,5094,0.432622861328125,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00576000,2025-04-04 20:12:55+00:00,576.0,0.07,0.05,0.09,-0.080000006,-53.333336,151.0,1242,0.43164630859375,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00577000,2025-04-04 20:03:18+00:00,577.0,0.05,0.04,0.08,-0.06999999,-58.333332,148.0,2662,0.43066975585937506,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00578000,2025-04-04 20:13:14+00:00,578.0,0.06,0.04,0.08,-0.05,-45.454548,453.0,2590,0.43555251953125,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00579000,2025-04-04 20:12:55+00:00,579.0,0.05,0.04,0.07,-0.05,-50.0,292.0,1394,0.4335994140625,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00580000,2025-04-04 20:12:45+00:00,580.0,0.05,0.03,0.07,-0.040000003,-44.444447,4538.0,9649,0.437505625,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
