type,strike,ttm,AveragePrice,impliedVolatility,spot,dividendYield,expiry,volume,modelPrice
put,65.0,0.0027397260273972,0.655,0.94335994140625,94.30999755859376,0.04,2025-05-02,475.0,3.4059581706301895e-16
put,70.0,0.0027397260273972,1.0,0.8828136718749999,94.30999755859376,0.04,2025-05-02,744.0,4.851100086754e-12
put,75.0,0.0027397260273972,1.4700000000000002,0.8186053295898437,94.30999755859376,0.04,2025-05-02,1468.0,1.3084590366795117e-08
put,80.0,0.0027397260273972,2.15,0.7575707836914063,94.30999755859376,0.04,2025-05-02,8077.0,9.561379121315535e-06
put,85.0,0.0027397260273972,3.015,0.6862824340820313,94.30999755859376,0.04,2025-05-02,1946.0,0.0016900046802394353
put,90.0,0.0027397260273972,4.65,0.659183095703125,94.30999755859376,0.04,2025-05-02,7701.0,0.12808475420496498
put,95.0,0.0027397260273972,6.65,0.6140175317382813,94.30999755859376,0.04,2025-05-02,5863.0,1.588720996583462
put,99.0,0.0027397260273972,8.025,0.5112353564453125,94.30999755859376,0.04,2025-05-02,442.0,4.723870981603829
put,100.0,0.0027397260273972,8.524999999999999,0.5008594836425782,94.30999755859376,0.04,2025-05-02,10516.0,5.700044523906866
put,101.0,0.0027397260273972,9.075,0.48438015625,94.30999755859376,0.04,2025-05-02,259.0,6.691816812672333
put,102.0,0.0027397260273972,9.675,0.4692435888671875,94.30999755859376,0.04,2025-05-02,3332.0,7.690055064946595
put,103.0,0.0027397260273972,10.275,0.4497125341796875,94.30999755859376,0.04,2025-05-02,185.0,8.690002441406236
put,104.0,0.0027397260273972,10.875,0.4243221630859375,94.30999755859376,0.04,2025-05-02,341.0,9.690002441406236
put,105.0,0.0027397260273972,12.4,0.5070850073242188,94.30999755859376,0.04,2025-05-02,931.0,10.690002441406236
put,106.0,0.0027397260273972,12.225,0.370123486328125,94.30999755859376,0.04,2025-05-02,142.0,11.690002441406236
put,107.0,0.0027397260273972,13.925,0.3808655664062499,94.30999755859376,0.04,2025-05-02,135.0,12.690002441406236
put,108.0,0.0027397260273972,14.55,0.278327529296875,94.30999755859376,0.04,2025-05-02,247.0,13.690002441406236
put,109.0,0.0027397260273972,15.325,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,84.0,14.690002441406236
put,110.0,0.0027397260273972,15.125,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,1372.0,15.690002441406236
put,111.0,0.0027397260273972,16.875,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,96.0,16.690002441406236
put,112.0,0.0027397260273972,17.700000000000003,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,95.0,17.690002441406236
put,113.0,0.0027397260273972,17.725,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,65.0,18.690002441406236
put,114.0,0.0027397260273972,19.35,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,89.0,19.690002441406236
put,115.0,0.0027397260273972,20.025,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,210.0,20.690002441406236
put,116.0,0.0027397260273972,21.225,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,189.0,21.690002441406236
put,117.0,0.0027397260273972,22.125,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,107.0,22.690002441406236
put,118.0,0.0027397260273972,22.05,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,113.0,23.690002441406236
put,119.0,0.0027397260273972,23.875,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,150.0,24.690002441406236
put,120.0,0.0027397260273972,23.75,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,127.0,25.690002441406236
put,121.0,0.0027397260273972,26.0,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,52.0,26.690002441406236
put,122.0,0.0027397260273972,25.7,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,74.0,27.690002441406236
put,123.0,0.0027397260273972,26.725,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,80.0,28.690002441406236
put,124.0,0.0027397260273972,27.6,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,18.0,29.690002441406236
put,125.0,0.0027397260273972,29.625,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,247.0,30.690002441406236
put,126.0,0.0027397260273972,30.275,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,113.0,31.690002441406236
put,127.0,0.0027397260273972,31.575,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,18.0,32.690002441406236
put,128.0,0.0027397260273972,31.55,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,14.0,33.690002441406236
put,129.0,0.0027397260273972,32.525,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,9.0,34.690002441406236
put,130.0,0.0027397260273972,34.55,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,180.0,35.690002441406236
put,135.0,0.0027397260273972,38.475,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,60.0,40.690002441406236
put,140.0,0.0027397260273972,43.475,1.0000000000000004e-05,94.30999755859376,0.04,2025-05-02,39.0,45.690002441406236
